HIP,RA,Dec,pmRA,pmDec
106985,325.02273477,-16.6623077,187.39,-22.33
107095,325.38691422,-14.04761057,-122.06,-308.64
107188,325.6646132,-18.86632305,145.9,-9.05
107259,325.87692018,58.78004608,5.24,-2.88
109068,331.41979781,5.05853048,101.6,101.19
109074,331.4459822,-0.3198507,17.9,-9.93
109139,331.60929021,-13.86967906,40.45,-57.16
109176,331.75277532,25.34511155,296.73,26.93
109285,332.09587026,-32.98846846,80.05,-28.88
111045,337.44174625,-27.10728417,119.31,-20.31
111123,337.66173361,-10.67795002,1.79,-26.26
111188,337.87637809,-32.34607343,59.64,-18.7
113136,343.66255214,-15.82082024,-44.08,-24.81
