Name,PtolLon,PtolLat,HIP
19,41.833333333333336,84.83333333333333,89908
20,118.66666666666667,87.5,85805
21,111.66666666666667,86.83333333333333,86201
22,159.0,81.25,81660
23,159.33333333333334,83.0,82860
24,158.33333333333334,84.83333333333333,83895
25,160.0,78.0,80331
26,163.0,74.66666666666667,78527
27,162.66666666666666,70.0,75458
28,127.33333333333333,64.66666666666667,67627
29,131.16666666666666,65.5,68756
30,109.16666666666667,61.25,61281
31,103.16666666666667,56.25,56211
1,35.0,75.66666666666667,99255
2,33.0,64.25,116727
3,7.333333333333333,71.16666666666667,106032
4,346.6666666666667,69.0,105199
5,339.3333333333333,72.0,102422
6,340.0,74.0,101093
7,358.5,65.5,108917
8,7.5,62.5,112724
9,346.3333333333333,60.25,109857
10,347.3333333333333,61.25,109492
11,349.0,61.333333333333336,109556
12,343.6666666666667,64.0,107259
13,351.3333333333333,59.5,110991
1,152.33333333333334,58.666666666666664,69483
2,154.16666666666666,58.333333333333336,69713
3,155.33333333333334,60.166666666666664,70497
4,159.66666666666666,54.666666666666664,69732
5,169.66666666666666,49.0,71075
6,176.66666666666666,53.833333333333336,73555
7,185.66666666666666,48.666666666666664,74666
8,185.66666666666666,53.25,75411
9,185.0,57.5,76041
10,187.66666666666666,46.5,75312
11,188.5,45.5,74596
12,188.16666666666666,41.333333333333336,73996
13,186.66666666666666,41.666666666666664,74087
14,187.0,42.5,73745
15,187.33333333333334,40.333333333333336,73568
16,180.0,40.25,72105
17,175.66666666666666,41.666666666666664,71284
18,175.0,42.166666666666664,71053
19,185.33333333333334,28.0,71795
20,171.33333333333334,28.0,67927
21,170.5,26.5,67275
22,171.33333333333334,25.0,67459
23,177.0,31.5,69673
1,194.66666666666666,44.5,76267
2,191.66666666666666,46.5,75695
3,191.83333333333334,48.0,76127
4,193.66666666666666,50.5,77048
5,197.16666666666666,44.75,76952
6,199.16666666666666,44.833333333333336,77512
7,201.33333333333334,46.166666666666664,78159
8,201.66666666666666,49.333333333333336,78493
1,227.66666666666666,37.5,84345
2,213.66666666666666,43.0,80816
3,211.66666666666666,40.166666666666664,80170
4,208.0,37.166666666666664,79043
5,226.66666666666666,48.0,84379
6,232.0,49.5,85693
7,237.66666666666666,52.0,86974
8,245.5,52.833333333333336,88794
9,241.66666666666666,54.0,87998
10,241.5,53.0,87933
11,213.83333333333334,53.166666666666664,81693
12,220.16666666666666,53.5,83207
13,220.0,56.5,83313
14,221.16666666666666,58.5,83838
15,224.0,59.833333333333336,84380
16,225.33333333333334,60.333333333333336,84606
17,226.33333333333334,61.25,85112
18,240.83333333333334,61.0,87808
19,232.16666666666666,69.33333333333333,86414
20,225.33333333333334,70.25,84835
21,226.83333333333334,71.25,85379
22,229.66666666666666,72.25,86182
23,210.66666666666666,60.25,81833
24,205.33333333333334,63.0,81126
25,195.66666666666666,65.5,79992
26,193.66666666666666,63.666666666666664,79101
27,190.16666666666666,64.25,78592
28,191.16666666666666,60.0,77760
29,185.0,57.5,76041
30,212.66666666666666,38.166666666666664,80463
1,257.3333333333333,62.0,91262
2,260.3333333333333,62.666666666666664,91919
3,260.3333333333333,61.0,91971
4,263.6666666666667,60.0,92791
5,272.0,61.333333333333336,94481
6,271.6666666666667,60.333333333333336,94713
7,261.0,56.166666666666664,92420
8,260.8333333333333,55.0,92405
9,264.1666666666667,55.333333333333336,93194
10,264.1666666666667,54.75,93279
1,274.5,49.0,95947
2,279.0,50.5,96683
3,286.3333333333333,54.5,98110
4,298.5,57.333333333333336,100453
5,309.1666666666667,60.0,102098
6,289.3333333333333,64.66666666666667,97165
7,292.5,69.66666666666667,96441
8,291.1666666666667,71.5,95853
9,286.6666666666667,74.0,94779
10,300.8333333333333,49.5,102488
11,303.8333333333333,52.166666666666664,102589
12,306.6666666666667,44.0,104732
13,310.0,55.166666666666664,103413
14,314.5,57.0,104060
15,301.1666666666667,64.0,99675
16,302.6666666666667,64.5,99848
17,312.1666666666667,64.75,101138
18,310.6666666666667,49.666666666666664,104887
19,313.8333333333333,51.666666666666664,105102
1,7.833333333333333,45.333333333333336,2920
2,10.833333333333334,46.75,3179
3,13.0,47.833333333333336,3821
4,16.666666666666668,49.0,4427
5,20.666666666666668,45.5,6686
6,27.0,47.75,8886
7,31.666666666666668,47.333333333333336,9312
8,14.666666666666666,44.333333333333336,5542
9,17.666666666666668,45.0,6242
10,2.3333333333333335,50.0,118243
11,15.0,52.666666666666664,2599
12,7.833333333333333,51.666666666666664,746
13,3.6666666666666665,51.666666666666664,117863
2,31.166666666666668,37.5,13268
3,32.666666666666664,34.5,14328
4,27.5,32.333333333333336,12777
5,30.666666666666668,34.5,13531
6,31.5,31.166666666666668,14632
7,34.833333333333336,30.0,15863
8,35.333333333333336,27.833333333333332,16335
9,37.0,27.666666666666668,16826
10,37.666666666666664,27.333333333333332,17358
11,30.5,27.0,14668
12,29.666666666666668,23.0,14576
13,29.166666666666668,21.0,14817
14,27.666666666666668,21.0,14354
15,26.833333333333332,22.25,13879
16,44.833333333333336,28.0,20070
17,43.0,28.166666666666668,19167
18,42.333333333333336,25.0,19343
19,44.0,26.25,19812
20,44.166666666666664,24.5,20354
21,46.333333333333336,18.75,21476
22,36.833333333333336,21.833333333333332,17529
23,38.666666666666664,19.25,18532
24,38.333333333333336,14.75,18614
25,34.166666666666664,12.0,17448
26,36.333333333333336,11.0,18246
27,41.833333333333336,18.0,19811
28,45.0,31.0,19949
29,24.666666666666668,20.666666666666668,13254
1,62.5,30.0,28358
2,62.333333333333336,31.833333333333332,27949
3,55.0,22.5,24608
4,62.833333333333336,20.0,28360
5,61.166666666666664,15.25,27673
6,62.833333333333336,13.333333333333334,28380
7,52.0,20.666666666666668,23416
8,52.166666666666664,18.0,23767
9,52.0,18.0,23453
10,49.833333333333336,10.166666666666666,23015
11,55.666666666666664,5.0,25428
12,56.0,8.5,25984
13,56.333333333333336,12.166666666666666,25541
1,234.83333333333334,36.0,86032
2,238.0,27.25,86742
3,239.0,26.5,87108
4,223.33333333333334,33.0,82673
5,224.66666666666666,31.833333333333332,83000
6,218.33333333333334,24.5,80883
7,215.0,17.0,79593
8,216.0,16.5,79882
9,236.66666666666666,15.0,86284
10,242.33333333333334,13.666666666666666,88048
11,243.33333333333334,14.333333333333334,88404
12,231.16666666666666,7.5,84012
